"Label","Xvalue","Yvalue"
"D260",-4.15683,0.846825659275
"D261",-15.264,1.81282889843
"D262",10.057,1.28028309345
"D263",-10.0518,1.22412455082
"D264",-5.99429,0.877990722656
"D265",-28.351,3.46067285538
"D266",-45.0821,5.61166810989
"D267",-12.645,1.52319920063
"INH",61.1046,4.39727973938
"MET",-24.003,2.91236782074
"STREP",-33.3025,3.69852876663
"D456 ",4.78868,1.37751698494
"D457 ",6.43798,1.06327986717
"D458 ",3.96968,1.23386573792
"D459 ",12.4429,3.12880897522
"D460 ",3.06804,1.03863692284
"D461 ",1.01228,0.753248810768
"D462 ",1.87505,0.940161347389
"D463 ",-20.8889,3.40898656845
"D464 ",18.1332,5.18411159515
"D465 ",-41.2879,12.7050285339
"D466 ",-38.092,11.196893692
"D467 ",-40.0135,10.9656858444
"INH ",-1.7709,0.868513226509
"MET ",-44.2173,6.6986246109
"STREP ",-42.5066,13.2960348129
"D468 ",10.8966,1.54387390614
"D469 ",17.803,2.14423012733
"D470 ",4.30352,0.913254320621
"D471 ",24.7703,2.64039731026
"D472 ",36.481,5.41552114487
"D473 ",22.7366,3.1860806942
"D474 ",26.7419,3.13047337532
"D475 ",21.6444,2.76833462715
"D476 ",1.74165,0.765706181526
"D477 ",70.9727,10.4673566818
"D478 ",27.6303,4.07166576385
"D479 ",39.6376,6.01920366287
"D480 ",13.1376,1.69769442081
"INH ",24.569,3.15052938461
"MET ",-15.09,2.04165649414
"STREP ",-34.3515,5.30898618698
"D309",37.5982,7.01500940323
"D310",134.342,10.5680475235
"D311",40.8599,6.24673986435
"D312",79.2409,8.17754650116
"D313",72.5983,5.84609031677
"D314",109.542,11.6159801483
"D315",105.834,12.1264305115
"D316",120.531,7.59571838379
"D317",122.064,12.0899972916
"D318",115.838,15.6574611664
"D319",139.358,10.9756889343
"D320",115.32,12.4804563522
"D321",107.356,17.1447868347
"INH",194.479,19.6763477325
"MET",-26.7156,5.32103347778
"STREP",-33.7671,6.93009662628
"D322",26.9918,5.08606624603
"D323",32.703,9.08680343628
"D324",71.9922,10.3415622711
"D325",46.5009,11.9219207764
"D326",30.1595,4.61721897125
"D327",18.068,2.98123168945
"D328",69.5577,7.37297916412
"D329",80.3906,14.5852193832
"D330",-20.1625,6.44210767746
"D331",-4.07413,1.12358140945
"D332",53.186,9.45330238342
"D333",54.5193,8.71108818054
"INH",191.84,11.196893692
