"drugName","Percchange_Area","pvalue_Area","Percchange_IntegInt","pvalue_IntegInt"
"INH ",29.3643,0.000114236,27.2872,0.000258112
"MET ",-66.5654,7.70E-09,-65.9807,1.32E-08
"STREP ",-48.1084,1.15E-07,-51.4367,9.09E-08
"D165 ",-28.8303,5.33E-05,-28.671,8.17E-05
"D166 ",-22.5956,0.000378846,-22.2137,0.000484315
"D167 ",-11.2541,0.044852,-10.8823,0.058208
"D168 ",-13.3292,0.0260341,-12.2935,0.0392369
"D169 ",-6.66713,0.354935,-6.93342,0.332225
"D170 ",-25.5216,0.000127813,-23.9038,0.000265036
"D171 ",-71.9949,1.04E-08,-69.698,2.35E-08
"D172 ",-28.5782,5.62E-05,-26.4002,0.000115295
"D173 ",-61.9267,1.76E-08,-55.7739,6.24E-08
"INH ",16.2724,0.0240839,14.277,0.0450034
"MET ",-64.8589,4.12E-09,-63.2663,9.65E-09
"STREP ",-41.3868,5.97E-07,-44.218,3.22E-07
"D176 ",-52.1663,9.48E-06,-51.987,8.78E-06
"D177 ",-2.18675,0.803105,-1.71619,0.843504
"D178 ",-37.5434,0.0205398,-37.9916,0.0195217
"D179 ",-16.0927,0.0989142,-13.8199,0.149731
"D180 ",-31.9342,0.00537896,-29.5218,0.00830272
"D181 ",12.5699,0.294455,13.9847,0.248862
"D182 ",-32.448,0.00444054,-31.1984,0.00527471
"D183 ",-11.7903,0.264568,-9.95261,0.347488
"D184 ",-19.6005,0.125845,-17.4105,0.169564
"D185 ",-7.76812,0.463572,-4.88918,0.648615
"INH ",3.6308,0.744812,2.32837,0.832993
"MET ",-49.3135,0.000158504,-49.6542,9.62E-05
"STREP ",-47.7443,1.68E-05,-52.0956,4.27E-06
"D216",-59.8245,0.00813678,-53.2587,0.0208497
"D217",-57.685,0.0101928,-59.5371,0.0111199
"D218",-10.6031,0.640904,-15.7572,0.492843
"D219",-37.835,0.0763329,-35.8602,0.102566
"D220",-13.874,0.521202,-14.6511,0.508234
"D221",-25.3345,0.254846,-23.3942,0.311057
"D222",6.23767,0.773321,3.00814,0.889974
"D223",-47.9455,0.0252882,-43.9393,0.0462053
"D224",-70.7677,0.0028889,-68.7435,0.00490072
"D225",-57.6633,0.00958783,-54.8671,0.0160996
"D226",21.4402,0.377549,26.5028,0.28761
"INH",55.3844,0.0413264,36.9543,0.149323
"MET",-20.229,0.353827,-21.2257,0.343145
"STREP",-4.3744,0.86002,-26.1367,0.265941
"D241 ",43.2667,5.64E-05,44.0175,3.57E-05
"D242 ",6.6321,0.476815,5.98001,0.52565
"D243 ",21.6351,0.0234049,21.9585,0.0179484
"D244 ",3.67674,0.866317,4.81409,0.827303
"D245 ",-22.7767,0.0115747,-21.8284,0.0143671
"D246 ",-32.4405,0.00530461,-30.6693,0.00942025
"D247 ",34.3159,0.00479582,34.8233,0.00433537
"D248 ",11.3828,0.507655,13.2677,0.458353
"D249 ",60.276,0.0178193,61.3792,0.0163159
"D250 ",-17.864,0.088867,-17.5777,0.0946691
"D251 ",43.2896,0.00191798,48.9741,0.00074405
"D252 ",37.2582,0.0991177,39.7249,0.095488
"D253 ",71.6028,5.91E-05,72.6192,6.37E-05
"INH ",80.2537,0.00021299,78.3743,0.000268555
"MET ",-11.6351,0.111241,-12.6088,0.0893657
"STREP ",-8.79586,0.344281,-17.3228,0.0588136
"D254",-14.8358,0.300105,-15.5703,0.274053
"D255",-4.81148,0.743863,-5.20047,0.723005
"D256",16.8296,0.240817,14.668,0.3231
"D257",32.8377,0.0858093,30.6909,0.109418
"D258",2.15296,0.896032,1.10486,0.947765
"D259",-14.0923,0.396087,-11.4434,0.516727
"D260",-4.91019,0.736881,-4.15683,0.782103
"D261",-17.3458,0.160296,-15.264,0.229213
"D262",5.32568,0.676793,10.057,0.446024
"D263",-10.8226,0.422608,-10.0518,0.481201
"D264",-5.06651,0.785374,-5.99429,0.745084
"D265",-24.3856,0.0516967,-28.351,0.0321753
"D266",-44.4436,0.00213567,-45.0821,0.00253025
"D267",-13.5498,0.274508,-12.645,0.321044
"INH",65.5581,0.00838849,61.1046,0.0107393
"MET",-24.1543,0.0526486,-24.003,0.0632851
"STREP",-25.5278,0.0795065,-33.3025,0.0244726
"D456 ",3.90582,0.489444,4.78868,0.390558
"D457 ",4.58482,0.699282,6.43798,0.588663
"D458 ",2.06044,0.703569,3.96968,0.474206
"D459 ",11.7063,0.069752,12.4429,0.0493922
"D460 ",3.82903,0.520225,3.06804,0.604766
"D461 ",-0.765657,0.910368,1.01228,0.887407
"D462 ",-0.607879,0.90075,1.87505,0.68901
"D463 ",-22.4456,0.0211188,-20.8889,0.0340144
"D464 ",16.773,0.00767048,18.1332,0.00423901
"D465 ",-42.8816,2.51E-07,-41.2879,3.20E-07
"D466 ",-38.4879,3.45E-06,-38.092,2.43E-06
"D467 ",-38.7997,9.60E-06,-40.0135,3.32E-06
"INH ",-2.38065,0.675511,-1.7709,0.755537
"MET ",-43.6473,0.000603945,-44.2173,0.000695468
"STREP ",-38.0264,1.36E-06,-42.5066,1.48E-07
"D468 ",11.9018,0.280352,10.8966,0.311911
"D469 ",16.7688,0.183679,17.803,0.156586
"D470 ",3.25071,0.786357,4.30352,0.71124
"D471 ",22.0658,0.12507,24.7703,0.0864901
"D472 ",34.4432,0.00539841,36.481,0.00314975
"D473 ",20.0602,0.0718491,22.7366,0.0452026
"D474 ",25.3418,0.0565612,26.7419,0.0491352
"D475 ",20.2991,0.0989195,21.6444,0.0743452
"D476 ",0.0711346,0.994918,1.74165,0.87456
"D477 ",69.4233,9.50E-06,70.9727,5.92E-06
"D478 ",25.6883,0.0233202,27.6303,0.0156231
"D479 ",37.1915,0.00294446,39.6376,0.00155685
"D480 ",14.266,0.224685,13.1376,0.258648
"INH ",21.7727,0.0799835,24.569,0.0476454
"MET ",-16.572,0.135205,-15.09,0.176617
"STREP ",-30.9271,0.00786229,-34.3515,0.0036493
"D309",36.48,0.000619259,37.5982,0.000452923
"D310",154.878,7.69E-06,134.342,5.25E-06
"D311",42.6294,0.000671975,40.8599,0.00117027
"D312",80.4588,4.80E-05,79.2409,0.000102903
"D313",71.3665,0.00214745,72.5983,0.00195522
"D314",111.113,9.16E-07,109.542,1.48E-06
"D315",107.1,9.29E-07,105.834,6.72E-07
"D316",116.727,0.000172903,120.531,0.000221232
"D317",120.984,1.90E-07,122.064,7.64E-07
"D318",117.99,3.60E-10,115.838,4.44E-09
"D319",143.98,4.48E-06,139.358,3.15E-06
"D320",115.066,5.81E-07,115.32,4.41E-07
"D321",110.963,7.36E-10,107.356,8.60E-10
"INH",223.654,2.81E-11,194.479,1.14E-11
"MET",-21.8972,0.00500316,-26.7156,0.00354011
"STREP",-17.6892,0.0237667,-33.7671,0.000512628
"D322",20.9758,0.0151779,26.9918,0.00477464
"D323",43.8741,1.68E-06,32.703,3.26E-05
"D324",61.6368,3.60E-05,71.9922,7.23E-06
"D325",39.6127,1.17E-05,46.5009,9.57E-07
"D326",20.3358,0.0515996,30.1595,0.00829035
